Code	EconomicType	FgTitle	StateTitle	LgTitle	ACCOUNT TYPE	LEVEL	TYPE
11	Revenue	GOVERNMENT SHARE OF FAAC (STATUTORY REVENUE)	GOVERNMENT SHARE OF FAAC (STATUTORY REVENUE)	GOVERNMENT SHARE OF FAAC (STATUTORY REVENUE)	REVENUE	2	GENERAL
1101	Revenue	GOVERNMENT SHARE OF FAAC (STATUTORY REVENUE)	GOVERNMENT SHARE OF FAAC (STATUTORY REVENUE)	GOVERNMENT SHARE OF FAAC (STATUTORY REVENUE)	REVENUE	3	GENERAL
110101	Revenue	FEDERAL GOVERNMENT SHARE OF FAAC	GOVERNMENT SHARE OF FAAC	GOVERNMENT SHARE OF FAAC	REVENUE	4	GENERAL
11010101	Revenue	FEDERAL GOVERNMENT SHARE OF FAAC	STATUTORY ALLOCATION	STATUTORY ALLOCATION	REVENUE	5	DETAIL
11010102	Revenue	FAAC DIRECT ALLOCATION TO FIRS	N/A	N/A	REVENUE	5	DETAIL
11010103	Revenue	FAAC DIRECT ALLOCATION TO CUSTOMS	N/A	N/A	REVENUE	5	DETAIL
11010104	Revenue	FAAC  SPECIAL ALLOCATIONS	FAAC  SPECIAL ALLOCATIONS	FAAC  SPECIAL ALLOCATIONS			
11010105	Revenue	N/A	N/A	RECEIPT OF SHARE OF STATE IGR			
110102	Revenue	FEDERAL GOVERNMENT SHARE OF VAT	GOVERNMENT SHARE OF VAT	GOVERNMENT SHARE OF VAT	REVENUE	4	GENERAL
11010201	Revenue	FEDERAL GOVERNMENT SHARE OF VAT	SHARE OF VAT	SHARE OF VAT	REVENUE	5	DETAIL
110103	Revenue	FEDERAL GOVERNMENT SHARE OF EXCESS CRUDE ACCOUNT	GOVERNMENT SHARE OF EXCESS CRUDE ACCOUNT	GOVERNMENT SHARE OF EXCESS CRUDE ACCOUNT	REVENUE	4	GENERAL
11010301	Revenue	FEDERAL GOVERNMENT SHARE OF EXCESS CRUDE ACCOUNT	EXCESS CRUDE	EXCESS CRUDE	REVENUE	5	DETAIL
12	Revenue	INDEPENDENT REVENUE	INDEPENDENT REVENUE	INDEPENDENT REVENUE	REVENUE	2	GENERAL
1201	Revenue	TAX REVENUE	TAX REVENUE	TAX REVENUE	REVENUE	3	GENERAL
120101	Revenue	PERSONNAL TAXES	PERSONAL TAXES	PERSONAL TAXES	REVENUE	4	GENERAL
12010101	Revenue	PERSONAL INCOME TAX  -  FCT  RESIDENTS	PERSONAL TAXES (E.G PAYE)	COMMUNITY DEVELOPMENT/POLL TAX	REVENUE	5	DETAIL
12010102	Revenue	PERSONAL INCOME TAX - ARMED FORCES ,  POLICE	N/A	N/A	REVENUE	5	DETAIL
12010103	Revenue	PERSONAL INCOME TAX - FOREIGN AFFAIRS OFFICERS	N/A	N/A	REVENUE	5	DETAIL
12010104	Revenue	STAMP DUTY	STAMP DUTY	STAMP DUTY			
12010105	Revenue	POOL BETTING TAX	POOL BETTING TAX	POOL BETTING TAX			
12010106	Revenue	DEVELOPMENT TAX/LEVY	DEVELOPMENT TAX/LEVY	DEVELOPMENT TAX/LEVY			
12010107	Revenue	CAPITAL GAIN TAX	CAPITAL GAIN TAX	CAPITAL GAIN TAX			
12010108	Revenue	LIVESTOCK TAX	LIVESTOCK TAX	LIVESTOCK TAX			
12010109	Revenue	OTHER SERVICE TAXES	OTHER SERVICE TAXES	OTHER SERVICE TAXES			
120102	Revenue			REVENUE	4	GENERAL
12010201	Revenue			REVENUE	5	DETAIL
1202	Revenue	NON-TAX REVENUE	NON-TAX REVENUE	NON-TAX REVENUE	REVENUE	3	GENERAL
120201	Revenue	LICENCES - GENERAL	LICENCES - GENERAL	LICENCES - GENERAL	REVENUE	4	GENERAL
12020101	Revenue	DIAMOND DEALERS LICENCE	N/A	N/A	REVENUE	5	DETAIL
12020102	Revenue	GOLDSMITHS & GOLD DEALER LICENCES	N/A	N/A	REVENUE	5	DETAIL
12020103	Revenue	SILVER DEALERS LICENCES	N/A	N/A	REVENUE	5	DETAIL
12020104	Revenue	PLATINUM DEALERS LICENCES	N/A	N/A	REVENUE	5	DETAIL
